test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,16,0,29.71,0.00,48.70
CPUStress,16,10,45.69,0.00,59.10
CPUStress,16,20,73.51,0.00,71.30
CPUStress,16,30,105.06,0.00,88.20
CPUStress,16,40,129.41,0.00,97.70
CPUStress,16,50,106.64,0.00,95.10
CPUStress,16,60,103.93,0.00,97.60
CPUStress,16,70,106.01,0.00,99.50
CPUStress,16,80,103.86,0.00,99.80
CPUStress,16,90,94.05,0.00,97.10
CPUStress,16,100,99.45,0.00,98.90
ipsec,16,100,101.39,0.00,99.80
VMStress,16,100,99.11,0.00,97.40
maximize,16,100,91.60,0.00,98.10
