test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,16,0,14.84,0.00,42.40
CPUStress,16,10,46.81,0.00,55.30
CPUStress,16,20,62.88,0.00,64.50
CPUStress,16,30,99.89,0.00,83.70
CPUStress,16,40,116.22,0.00,96.90
CPUStress,16,50,96.14,0.00,89.10
CPUStress,16,60,105.79,0.00,97.30
CPUStress,16,70,108.86,0.00,99.60
CPUStress,16,80,104.25,0.00,100.00
CPUStress,16,90,98.08,0.00,98.40
CPUStress,16,100,92.90,0.00,97.40
ipsec,16,100,100.27,0.00,99.90
VMStress,16,100,104.25,0.00,99.30
maximize,16,100,91.48,0.00,98.50
